source_id,source_name,integration_state,source_type,ownership,refresh_cadence,authoritative_for,current_grain,code_entrypoint,known_limitations
eia-861,EIA-861 annual utility data,live_public_us,public_dataset,public,annual,"balancing authority, retail choice, primary utility, utility territories",utility and county,packages/ops/src/etl/county-power-public-us.impl.js,"Annual cadence; not a queue or substation source"
census-gazetteer,Census Gazetteer files,live_public_us,public_dataset,public,annual,"place and county-subdivision tie-breakers for county normalization",place and county-equivalent,packages/ops/src/etl/county-power-public-us.impl.js,"Text matching only; not operator-grade power geography"
census-zcta-county,Census ZCTA to county relationship file,live_public_us,public_dataset,public,periodic,"ZIP-to-county support for ERCOT weather-zone mapping",zcta and county,packages/ops/src/etl/county-power-public-us.impl.js,"Support layer only; not published directly"
census-geography-changes,Census geography change reference,live_public_us,public_reference,public,ad_hoc,"retired and renamed county FIPS alias normalization",county-equivalent,packages/ops/src/etl/county-power-public-us.impl.js,"Reference only; requires curated alias handling"
nws-zonecounty,NWS ZoneCounty correlation,live_public_us,public_dataset,public,periodic,"meteo zone fallback by county-equivalent",county-equivalent,packages/ops/src/etl/county-power-public-us.impl.js,"Meteorology geography only; not an operator weather zone"
transmission-lines-arcgis,US Electric Power Transmission Lines Feature Service,live_public_us,public_feature_service,public,periodic,"transmission mileage by voltage class",line segment and county overlay,packages/ops/src/etl/county-power-public-us.impl.js,"No public nationwide substation precision in this pipeline"
caiso-public-queue,CAISO Public Queue Report,live_public_us,public_workbook,public,periodic,"generation queue projects, status, PTO study region, POI labels",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Interface and substation rows remain ambiguous for some counties"
caiso-oasis,CAISO OASIS and Atlas references,live_public_us,public_api,public,near_real_time,"county congestion components and constraint summaries",node, zone, and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County mapping depends on zone or project geography"
community-solar-policy,National Renewable Law community solar policy submission,live_public_us,public_workbook,public,irregular,"alpha policy events and county/state policy snapshots",state and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"Current policy layer is narrow and not a full legislative corpus"
spp-active-queue,SPP GI Active Requests CSV,live_public_us,public_csv,public,periodic,"generation queue projects, nearest town or county, TO at POI, substation or line",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Settlement-location precision is limited without stronger reference tables"
spp-rtbm-market-map,SPP RTBM market map service,live_public_us,public_feature_service,public,near_real_time,"county congestion via settlement-location and market map records",settlement location and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"Not a clean county polygon layer by itself"
spp-settlement-location,SPP RTBM LMP by Location portal,live_public_us,public_portal,public,near_real_time,"future settlement-location reference extraction",settlement location,packages/ops/src/etl/county-power-public-us.impl.js,"Not yet fully harvested into an authoritative reference table"
pjm-planning-queue,PJM Planning Queue XML,live_public_us,public_xml,public,periodic,"generation queue projects and status",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Weak public siting detail drives the largest unresolved queue tail"
pjm-dataminer2,PJM Data Miner 2,live_public_us,public_api,public,near_real_time,"county congestion components, pnode support, RT LMP aggregates",pnode, zone, and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County congestion is good; queue siting still needs better map aliases"
pjm-system-map,PJM public system map,planned_public_reference,public_map_export,public,ad_hoc,"future POI and substation alias reference for queue siting",substation and zone,packages/ops/src/etl/county-power-public-us.impl.js,"Not yet harvested into dim_queue_poi_reference"
miso-gi-queue,MISO Generator Interconnection Queue,live_public_us,public_api,public,periodic,"generation queue projects and status",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Switchyard and township labels remain ambiguous without stronger POI aliases"
miso-rt-api,MISO real-time public API,live_public_us,public_api,public,near_real_time,"county congestion components and binding constraint summaries",pnode and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County mapping depends on queue or LRZ joins"
miso-lrz-boundaries,MISO Attachment VV LRZ boundaries,live_public_us,public_pdf_reference,public,ad_hoc,"county operator subregion coverage via LRZ",operator subregion and county bridge,packages/ops/src/etl/county-power-public-us.impl.js,"Derived overlay; seam counties stay lower confidence"
nyiso-interconnection-queue,NYISO Interconnection Queue workbook,live_public_us,public_workbook,public,periodic,"generation queue projects, county, state, zone, POI",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Legacy withdrawn and in-service rows often omit location detail"
nyiso-public-mis,NYISO public MIS market data,live_public_us,public_reports,public,near_real_time,"county congestion rollups from public market files",zone and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County completeness depends on defensible zone joins"
ercot-mis-queue,ERCOT MIS GIS report,live_public_us,public_reports,public,periodic,"generation queue projects, milestones, county mapping",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Strongest public county siting source of the queue set"
ercot-mis-congestion,ERCOT MIS congestion and price reports,live_public_us,public_reports,public,near_real_time,"county congestion components, SCED constraints, negative-price behavior",settlement point and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County aggregation is operator-wide or zone-driven rather than a true county source"
ercot-appendix-d,ERCOT Appendix D Profile Decision Tree,live_public_us,public_workbook,public,ad_hoc,"official ERCOT weather-zone mapping",zip and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"ERCOT-only; should not be generalized nationally"
iso-ne-public-queue,ISO-NE public queue reports,live_public_us,public_reports,public,periodic,"generation queue projects, county, state, POI, zone",queue project and snapshot,packages/ops/src/etl/county-power-public-us.impl.js,"Offshore and alternative-POI rows remain ambiguous"
iso-ne-isoexpress-pricing,ISO-NE ISO Express pricing reports,live_public_us,public_reports,public,near_real_time,"county congestion components via zonal and node data",node, zone, and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"County completeness depends on zone bridges"
iso-ne-isoexpress-constraints,ISO-NE ISO Express constraint reports,live_public_us,public_reports,public,near_real_time,"p95 shadow price and top constraints",constraint and county rollup,packages/ops/src/etl/county-power-public-us.impl.js,"Null preserved when county assignment is not defensible"
interconnection-fyi,Interconnection.fyi purchased queue feed,planned_purchased,purchased_dataset,purchased,contract_defined,"canonical queue identifiers, normalized stage and status, nationwide standardization",queue project and snapshot,not_yet_integrated,"Preferred future canonical queue source once licensed and wired"
consultant-boundary-layers,Consultant ArcGIS boundary layers,planned_consultant,consultant_dataset,consultant,as_received,"subregion and seam truth for county-to-operator mapping",polygon and county bridge,not_yet_integrated,"Not yet loaded into the county-power pipeline"
ian-adjusted-boundaries,Ian-adjusted KMZ and review pack,planned_internal,internal_review,internal,review_cycle,"manual corrections, seam cases, impossible-from-public-data boundaries",polygon and county bridge,not_yet_integrated,"Needs conversion into a versioned internal boundary manifest"
eia-860-860m,EIA-860 and EIA-860M,planned_public,public_dataset,public,monthly_and_annual,"plant county, coordinates, and generator inventory tie-breakers",plant and county,not_yet_integrated,"Useful for siting QA; not currently in the resolver"
boem-offshore-gis,BOEM renewable energy GIS,planned_public,public_gis,public,periodic,"offshore wind and interface geography handling",offshore polygon,not_yet_integrated,"Needed for offshore and interface queue rows; not currently in use"
