schema_name	relation_name	pre_delete_size_bytes
mirror	BLOG_AUTHOR	16384
mirror	BLOG_CATEGORY	16384
mirror	COUNTY	278528
mirror	HAWK_BLC_PRODUCT	720896
mirror	HAWK_BLOG	1474560
mirror	HAWK_BLOG_MEDIA_MAP	114688
mirror	HAWK_FACILITY_CAPACITY	81920
mirror	HAWK_FACILITY_INFO	39256064
mirror	HAWK_FACILITY_LOCATION	38543360
mirror	HAWK_INTERNET_EXCHANGE_FACILITY	49152
mirror	HAWK_LISTING_COLO	114688
mirror	HAWK_MARKET	376832
mirror	HAWK_MARKET_QUARTERLY_DATA	1482752
mirror	HAWK_POWER_SPACE_INFO	38690816
mirror	HAWK_PROVIDER_PROFILE	18767872
mirror	HAWK_SUBMARKET	16384
mirror	HAWK_SWAP	1032192
mirror	HYPERSCALE_FACILITY	6266880
mirror	HYPERSCALE_HISTORICAL_CAPACITY	6160384
mirror	HYPERSCALE_PROVIDER	245760
mirror	MARKET_ACTIVITY	15687680
mirror	market_capacity_total	221184
mirror	mirror_meta	57344
mirror	mirror_sync_meta	65536
mirror	satellite_change_detections	1630208
mirror	satellite_imagery_snapshots	484573184
mirror	satellite_tracked_facilities	434176
mirror	water_stress_basins	125411328
mirror	water_stress_basins_import	180977664
mirror	water_stress_facility_cache	16384
